,0,1,2,3,4,5
48,-1.8294862470305797,-0.0,-1.7180012283904373,-1.7313564620513475,-0.0,-1.6258444463691044
49,-0.5986954486226537,-0.0,-0.5621920477276082,-0.5877901482768735,-0.0,-0.5519515749196467
50,0.5877901482768735,0.0,0.5519515749196467,0.5986954486226537,0.0,0.5621920477276082
51,1.7313564620513475,0.0,1.6258444463691044,1.8294862470305797,0.0,1.7180012283904373
52,2.8334278941305837,0.0,2.6609142599314226,3.1059098776721417,0.0,2.9168627672186958
53,3.8954503218136884,0.0,3.6585888467777123,4.4292129016833535,0.0,4.1601177448664375
54,4.918876671681936,0.0,4.620285566229991,5.800534929915828,0.0,5.449041021580702
55,5.905154836947005,0.0,5.547402601533784,7.220879606418133,0.0,6.784817796548057
56,6.855717695466088,0.0,6.441311934570686,8.691082533555537,0.0,8.168517141895503
57,7.771974988298873,0.0,7.303353785144477,10.211776364225024,0.0,9.601062518255622
58,8.655306828698624,0.0,8.134832315977592,11.78335346978804,0.0,11.083199401481815
59,9.50705862598542,0.0,8.937012421878856,13.405926809772161,0.0,12.615460305552658
60,10.328537226009459,0.0,9.711117439559406,15.079289876470689,0.0,14.198127675647216
61,11.1210080884803,0.0,10.458327632466114,16.80287685486939,0.0,15.831195345651166
62,11.885693340287093,0.0,11.17977932220749,18.5757244106811,0.0,17.514329499894277
63,12.623770562339093,0.0,11.87656455429989,20.396436775273273,0.0,19.246830338735183
64,13.33637218492871,0.0,12.549731200847564,22.26315600859084,0.0,21.027595905057385
65,14.024585382857694,0.0,13.200283416284506,24.173539457899572,0.0,22.855089761312012
66,14.689452376407454,0.0,13.829182374427358,26.1247464575475,0.0,24.72731438669014
67,15.331971057614115,0.0,14.437347225849301,28.113436201470716,0.0,26.641792260084202
68,15.953095873236252,0.0,15.02565622405463,30.13577844189228,0.0,28.595556575004018
69,16.55373890633563,0.0,15.59494797720488,32.18747821392313,0.0,30.585153369686378
70,17.13477110761571,0.0,16.146022789323048,34.26381516451188,0.0,32.60665653045378
71,17.697023635684047,0.0,16.679644061091132,36.35969730543312,0.0,34.65569663452872
72,18.241289272336036,0.0,17.19653972566418,38.46972816631669,0.0,36.72750395450568
73,18.76832388491206,0.0,17.69740369945407,40.58828546668451,0.0,38.81696518637115
74,19.278847912868926,0.0,18.182897331683325,42.70960863853487,0.0,40.91869264274214
75,19.773547860034398,0.0,18.653650839762303,44.82789189660131,0.0,43.027103845204735
76,20.253077777675653,0.0,19.11026472027995,46.93737914342644,0.0,45.136508734232564
77,20.718060726598843,0.0,19.553311127691796,49.032456858772235,0.0,47.24120116881249
78,21.169090209084224,0.0,19.98333521470067,51.10774127401823,0.0,49.335551072321174
79,21.606731563621256,0.0,20.4008564299119,53.1581565540947,0.0,51.41409353317114
80,22.031523317202073,0.0,20.806369769653703,55.17900135289365,0.0,53.47161139394628
81,22.443978491413677,0.0,21.200346981926966,57.16600190073827,0.0,55.50320833475429
82,22.844585859787053,0.0,21.58323772132391,59.115350640713004,0.0,57.504370121304916
83,23.23381115485483,0.0,21.9554706544617,61.02373027181477,0.0,59.47101247302906
84,23.61209822417464,0.0,22.317454516044428,62.888323810156905,0.0,61.3995148312498
85,23.979870135221645,0.0,22.669579116115354,64.70681189329743,0.0,63.28674009590858
86,24.337530229568152,0.0,23.012216299411982,66.4773589982237,0.0,65.13004108896821
87,24.685463127171417,0.0,23.345720858006136,68.19859051364818,0.0,66.92725505009061
88,25.024035681902255,0.0,23.67043139861256,69.86956271346217,0.0,68.67668785371671
89,25.353597889682543,0.0,23.986671166095913,71.48972764490864,0.0,70.37708985452277
90,25.674483750772353,0.0,24.29474882480667,73.05889480397994,0.0,72.02762533478942
91,25.987012087868404,0.0,24.594959199440055,74.57719125547302,0.0,73.62783746783478
92,26.291487321755053,0.0,24.887583977145386,76.04502159778625,0.0,75.1776105572402
93,26.588200206294033,0.0,25.172892372623128,77.46302889999554,0.0,76.67713109395294
94,26.877428524557214,0.0,25.45114175793666,78.83205747211073,0.0,78.12684892171062
95,27.159437747902473,0.0,25.72257825874134,80.1531180835655,0.0,79.52743954005162
96,27.434481659771865,0.0,25.98743731859683,81.42735602911475,0.0,80.87976832214717
97,27.702802945956716,0.0,26.24594423298335,82.65602225981425,0.0,82.18485719470829
98,27.964633753029542,0.0,26.498314654590587,83.8404476503991,0.0,83.44385412695755
99,28.220196216590598,0.0,26.744755071391797,84.98202036136544,0.0,84.65800560851275
